Country,Code,Calling Code,Density(km2),Year,CO2 emission (Tons),Population(2022),Area,% of World
Australia,AU,61,3/km²,1820,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1821,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1822,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1823,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1824,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1825,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1826,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1827,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1828,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1829,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1830,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1831,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1832,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1833,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1834,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1835,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1836,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1837,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1838,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1839,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1840,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1841,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1842,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1843,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1844,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1845,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1846,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1847,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1848,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1849,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1850,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1851,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1852,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1853,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1854,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1855,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1856,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1857,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1858,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1859,0,26177413,7692024,5.20%
Australia,AU,61,3/km²,1860,278464,26177413,7692024,5.20%
Australia,AU,61,3/km²,1861,787760,26177413,7692024,5.20%
Australia,AU,61,3/km²,1862,1.14317e+06,26177413,7692024,5.20%
Australia,AU,61,3/km²,1863,1.54254e+06,26177413,7692024,5.20%
Australia,AU,61,3/km²,1864,1.81002e+06,26177413,7692024,5.20%
Australia,AU,61,3/km²,1865,2.23138e+06,26177413,7692024,5.20%
Australia,AU,61,3/km²,1866,2.92754e+06,26177413,7692024,5.20%
Australia,AU,61,3/km²,1867,3.82155e+06,26177413,7692024,5.20%
Australia,AU,61,3/km²,1868,4.55435e+06,26177413,7692024,5.20%
Australia,AU,61,3/km²,1869,5.19555e+06,26177413,7692024,5.20%
Australia,AU,61,3/km²,1870,5.79645e+06,26177413,7692024,5.20%
Australia,AU,61,3/km²,1871,6.48894e+06,26177413,7692024,5.20%
Australia,AU,61,3/km²,1872,7.1961e+06,26177413,7692024,5.20%
Australia,AU,61,3/km²,1873,8.06446e+06,26177413,7692024,5.20%
Australia,AU,61,3/km²,1874,8.95482e+06,26177413,7692024,5.20%
Australia,AU,61,3/km²,1875,9.78288e+06,26177413,7692024,5.20%
Australia,AU,61,3/km²,1876,1.07135e+07,26177413,7692024,5.20%
Australia,AU,61,3/km²,1877,1.17798e+07,26177413,7692024,5.20%
Australia,AU,61,3/km²,1878,1.27471e+07,26177413,7692024,5.20%
Australia,AU,61,3/km²,1879,1.42017e+07,26177413,7692024,5.20%
Australia,AU,61,3/km²,1880,1.64074e+07,26177413,7692024,5.20%
Australia,AU,61,3/km²,1881,1.81734e+07,26177413,7692024,5.20%
Australia,AU,61,3/km²,1882,2.0185e+07,26177413,7692024,5.20%
Australia,AU,61,3/km²,1883,2.26105e+07,26177413,7692024,5.20%
Australia,AU,61,3/km²,1884,2.51827e+07,26177413,7692024,5.20%
Australia,AU,61,3/km²,1885,2.80882e+07,26177413,7692024,5.20%
Australia,AU,61,3/km²,1886,3.09755e+07,26177413,7692024,5.20%
Australia,AU,61,3/km²,1887,3.40092e+07,26177413,7692024,5.20%
Australia,AU,61,3/km²,1888,3.75377e+07,26177413,7692024,5.20%
Australia,AU,61,3/km²,1889,4.09635e+07,26177413,7692024,5.20%
Australia,AU,61,3/km²,1890,4.45103e+07,26177413,7692024,5.20%
Australia,AU,61,3/km²,1891,4.85187e+07,26177413,7692024,5.20%
Australia,AU,61,3/km²,1892,5.267e+07,26177413,7692024,5.20%
Australia,AU,61,3/km²,1893,5.66344e+07,26177413,7692024,5.20%
Australia,AU,61,3/km²,1894,6.09946e+07,26177413,7692024,5.20%
Australia,AU,61,3/km²,1895,6.55856e+07,26177413,7692024,5.20%
Australia,AU,61,3/km²,1896,7.00887e+07,26177413,7692024,5.20%
Australia,AU,61,3/km²,1897,7.50644e+07,26177413,7692024,5.20%
Australia,AU,61,3/km²,1898,8.06776e+07,26177413,7692024,5.20%
Australia,AU,61,3/km²,1899,8.64631e+07,26177413,7692024,5.20%
Australia,AU,61,3/km²,1900,9.66307e+07,26177413,7692024,5.20%
Australia,AU,61,3/km²,1901,1.0807e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1902,1.19465e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1903,1.30684e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1904,1.42229e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1905,1.54276e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1906,1.68636e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1907,1.84112e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1908,2.00868e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1909,2.15421e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1910,2.32858e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1911,2.52098e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1912,2.72884e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1913,2.95274e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1914,3.19754e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1915,3.41547e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1916,3.6082e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1917,3.8158e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1918,4.0452e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1919,4.26259e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1920,4.51991e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1921,4.75144e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1922,4.99487e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1923,5.24337e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1924,5.51406e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1925,5.79641e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1926,6.07495e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1927,6.36389e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1928,6.62675e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1929,6.86327e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1930,7.08356e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1931,7.27902e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1932,7.48243e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1933,7.69823e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1934,7.9252e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1935,8.17748e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1936,8.44796e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1937,8.73651e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1938,9.01687e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1939,9.33828e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1940,9.62866e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1941,9.97411e+08,26177413,7692024,5.20%
Australia,AU,61,3/km²,1942,1.03391e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1943,1.0689e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1944,1.10311e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1945,1.13581e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1946,1.17123e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1947,1.20924e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1948,1.24766e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1949,1.28531e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1950,1.34005e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1951,1.39908e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1952,1.45928e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1953,1.51871e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1954,1.58655e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1955,1.65723e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1956,1.73025e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1957,1.80477e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1958,1.88238e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1959,1.96609e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1960,2.05421e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1961,2.14471e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1962,2.23953e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1963,2.34047e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1964,2.44934e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1965,2.5702e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1966,2.69042e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1967,2.81956e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1968,2.95406e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1969,3.09618e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1970,3.24366e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1971,3.39629e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1972,3.55363e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1973,3.72446e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1974,3.89665e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1975,4.07237e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1976,4.24644e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1977,4.43405e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1978,4.63588e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1979,4.84075e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1980,5.06129e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1981,5.29143e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1982,5.52533e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1983,5.75012e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1984,5.98649e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1985,6.22749e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1986,6.46722e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1987,6.72308e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1988,6.98398e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1989,7.26148e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1990,7.54084e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1991,7.82271e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1992,8.10904e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1993,8.40037e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1994,8.70045e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1995,9.00848e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1996,9.32481e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1997,9.65192e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1998,9.99062e+09,26177413,7692024,5.20%
Australia,AU,61,3/km²,1999,1.03372e+10,26177413,7692024,5.20%
Australia,AU,61,3/km²,2000,1.0689e+10,26177413,7692024,5.20%
Australia,AU,61,3/km²,2001,1.10495e+10,26177413,7692024,5.20%
Australia,AU,61,3/km²,2002,1.14166e+10,26177413,7692024,5.20%
Australia,AU,61,3/km²,2003,1.17898e+10,26177413,7692024,5.20%
Australia,AU,61,3/km²,2004,1.21766e+10,26177413,7692024,5.20%
Australia,AU,61,3/km²,2005,1.25642e+10,26177413,7692024,5.20%
Australia,AU,61,3/km²,2006,1.29615e+10,26177413,7692024,5.20%
Australia,AU,61,3/km²,2007,1.33634e+10,26177413,7692024,5.20%
Australia,AU,61,3/km²,2008,1.37731e+10,26177413,7692024,5.20%
Australia,AU,61,3/km²,2009,1.41744e+10,26177413,7692024,5.20%
Australia,AU,61,3/km²,2010,1.45789e+10,26177413,7692024,5.20%
Australia,AU,61,3/km²,2011,1.49843e+10,26177413,7692024,5.20%
Australia,AU,61,3/km²,2012,1.53869e+10,26177413,7692024,5.20%
Australia,AU,61,3/km²,2013,1.57801e+10,26177413,7692024,5.20%
Australia,AU,61,3/km²,2014,1.61794e+10,26177413,7692024,5.20%
Australia,AU,61,3/km²,2015,1.65826e+10,26177413,7692024,5.20%
Australia,AU,61,3/km²,2016,1.69986e+10,26177413,7692024,5.20%
Australia,AU,61,3/km²,2017,1.74133e+10,26177413,7692024,5.20%
Australia,AU,61,3/km²,2018,1.78293e+10,26177413,7692024,5.20%
Australia,AU,61,3/km²,2019,1.82439e+10,26177413,7692024,5.20%
Australia,AU,61,3/km²,2020,1.86357e+10,26177413,7692024,5.20%
Austria,AT,43,107/km²,1750,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1751,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1752,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1753,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1754,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1755,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1756,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1757,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1758,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1759,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1760,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1761,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1762,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1763,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1764,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1765,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1766,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1767,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1768,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1769,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1770,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1771,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1772,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1773,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1774,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1775,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1776,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1777,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1778,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1779,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1780,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1781,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1782,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1783,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1784,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1785,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1786,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1787,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1788,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1789,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1790,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1791,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1792,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1793,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1794,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1795,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1796,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1797,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1798,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1799,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1800,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1801,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1802,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1803,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1804,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1805,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1806,0,8939617,83871,0.10%
Austria,AT,43,107/km²,1807,168544,8939617,83871,0.10%
Austria,AT,43,107/km²,1808,168544,8939617,83871,0.10%
Austria,AT,43,107/km²,1809,168544,8939617,83871,0.10%
Austria,AT,43,107/km²,1810,168544,8939617,83871,0.10%
Austria,AT,43,107/km²,1811,168544,8939617,83871,0.10%
Austria,AT,43,107/km²,1812,168544,8939617,83871,0.10%
Austria,AT,43,107/km²,1813,168544,8939617,83871,0.10%
Austria,AT,43,107/km²,1814,168544,8939617,83871,0.10%
Austria,AT,43,107/km²,1815,168544,8939617,83871,0.10%
Austria,AT,43,107/km²,1816,168544,8939617,83871,0.10%
Austria,AT,43,107/km²,1817,168544,8939617,83871,0.10%
Austria,AT,43,107/km²,1818,168544,8939617,83871,0.10%
Austria,AT,43,107/km²,1819,421360,8939617,83871,0.10%
Austria,AT,43,107/km²,1820,754784,8939617,83871,0.10%
Austria,AT,43,107/km²,1821,1.11386e+06,8939617,83871,0.10%
Austria,AT,43,107/km²,1822,1.48026e+06,8939617,83871,0.10%
Austria,AT,43,107/km²,1823,1.82834e+06,8939617,83871,0.10%
Austria,AT,43,107/km²,1824,2.22771e+06,8939617,83871,0.10%
Austria,AT,43,107/km²,1825,2.63075e+06,8939617,83871,0.10%
Austria,AT,43,107/km²,1826,3.08875e+06,8939617,83871,0.10%
Austria,AT,43,107/km²,1827,3.56507e+06,8939617,83871,0.10%
Austria,AT,43,107/km²,1828,4.02307e+06,8939617,83871,0.10%
Austria,AT,43,107/km²,1829,4.49939e+06,8939617,83871,0.10%
Austria,AT,43,107/km²,1830,4.99403e+06,8939617,83871,0.10%
Austria,AT,43,107/km²,1831,5.47402e+06,8939617,83871,0.10%
Austria,AT,43,107/km²,1832,5.98698e+06,8939617,83871,0.10%
Austria,AT,43,107/km²,1833,6.41566e+06,8939617,83871,0.10%
Austria,AT,43,107/km²,1834,7.0019e+06,8939617,83871,0.10%
Austria,AT,43,107/km²,1835,7.63578e+06,8939617,83871,0.10%
Austria,AT,43,107/km²,1836,8.30995e+06,8939617,83871,0.10%
Austria,AT,43,107/km²,1837,9.0171e+06,8939617,83871,0.10%
Austria,AT,43,107/km²,1838,9.86715e+06,8939617,83871,0.10%
Austria,AT,43,107/km²,1839,1.0926e+07,8939617,83871,0.10%
Austria,AT,43,107/km²,1840,1.20949e+07,8939617,83871,0.10%
Austria,AT,43,107/km²,1841,1.34139e+07,8939617,83871,0.10%
Austria,AT,43,107/km²,1842,1.48722e+07,8939617,83871,0.10%
Austria,AT,43,107/km²,1843,1.61399e+07,8939617,83871,0.10%
Austria,AT,43,107/km²,1844,1.77338e+07,8939617,83871,0.10%
Austria,AT,43,107/km²,1845,1.95328e+07,8939617,83871,0.10%
Austria,AT,43,107/km²,1846,2.16469e+07,8939617,83871,0.10%
Austria,AT,43,107/km²,1847,2.37281e+07,8939617,83871,0.10%
Austria,AT,43,107/km²,1848,2.6062e+07,8939617,83871,0.10%
Austria,AT,43,107/km²,1849,2.83227e+07,8939617,83871,0.10%
Austria,AT,43,107/km²,1850,3.06494e+07,8939617,83871,0.10%
Austria,AT,43,107/km²,1851,3.29833e+07,8939617,83871,0.10%
Austria,AT,43,107/km²,1852,3.57936e+07,8939617,83871,0.10%
Austria,AT,43,107/km²,1853,3.90179e+07,8939617,83871,0.10%
Austria,AT,43,107/km²,1854,4.21946e+07,8939617,83871,0.10%
Austria,AT,43,107/km²,1855,4.58953e+07,8939617,83871,0.10%
Austria,AT,43,107/km²,1856,5.01272e+07,8939617,83871,0.10%
Austria,AT,43,107/km²,1857,5.50003e+07,8939617,83871,0.10%
Austria,AT,43,107/km²,1858,6.2244e+07,8939617,83871,0.10%
Austria,AT,43,107/km²,1859,6.81101e+07,8939617,83871,0.10%
Austria,AT,43,107/km²,1860,7.42583e+07,8939617,83871,0.10%
Austria,AT,43,107/km²,1861,8.06373e+07,8939617,83871,0.10%
Austria,AT,43,107/km²,1862,8.69907e+07,8939617,83871,0.10%
Austria,AT,43,107/km²,1863,9.28677e+07,8939617,83871,0.10%
Austria,AT,43,107/km²,1864,9.79424e+07,8939617,83871,0.10%
Austria,AT,43,107/km²,1865,1.03295e+08,8939617,83871,0.10%
Austria,AT,43,107/km²,1866,1.0689e+08,8939617,83871,0.10%
Austria,AT,43,107/km²,1867,1.11803e+08,8939617,83871,0.10%
Austria,AT,43,107/km²,1868,1.17875e+08,8939617,83871,0.10%
Austria,AT,43,107/km²,1869,1.2436e+08,8939617,83871,0.10%
Austria,AT,43,107/km²,1870,1.31724e+08,8939617,83871,0.10%
Austria,AT,43,107/km²,1871,1.41866e+08,8939617,83871,0.10%
Austria,AT,43,107/km²,1872,1.51873e+08,8939617,83871,0.10%
Austria,AT,43,107/km²,1873,1.62601e+08,8939617,83871,0.10%
Austria,AT,43,107/km²,1874,1.71754e+08,8939617,83871,0.10%
Austria,AT,43,107/km²,1875,1.79613e+08,8939617,83871,0.10%
